log,pages,total_success,total_failure,total_bytes,elapsed_sec,rate_official,rate_recomputed,num_404,num_403,success_rate_pct
run1.tsv,0,0,0,0,0.0,0.0,0.0,0,0,0.0
run1_fast.tsv,679,647,32,234090861,0.0,0.0,0.4204500983320701,0,0,95.28718703976436
run2_fast.tsv,2367,1759,608,644465506,0.0,0.0,0.18911640294369628,0,0,74.31347697507394
run2_fast.tsv,2367,1759,608,644465506,0.0,0.0,0.18911640294369628,0,0,74.31347697507394
run3_fast.tsv,2239,1407,832,491231251,0.0,0.0,0.1533579500583226,0,0,62.84055381866905
profile.tsv,1435,1057,378,73.66,355465871,0.000,0.00,0.33,0,0
profile.tsv,1295,1170,125,90.35,151680811,54.333,23.83,0.99,22,32
profile.tsv,0,0,0,0.00,0,411.059,0.00,0.00,0,0
profile.tsv,1295,1008,287,77.84,130907442,129.868,9.97,0.22,24,0
profile.tsv,1295,1008,287,77.84,130907442,129.868,9.97,0.22,24,0
profile.tsv,1295,1008,287,77.84,130907442,129.868,9.97,0.22,24,0
profile.tsv,1291,427,864,33.08,51578020,334.260,3.86,0.23,24,16
profile.tsv,3095,1998,1097,64.56,246784441,365.395,8.47,0.22,41,30
profile.tsv,3095,1150,1945,37.16,118301735,460.017,6.73,0.39,18,6
profile.tsv,3095,158,2937,5.11,18652173,525.232,5.89,0.30,4,0
profile.tsv,595,541,54,90.92,71157980,38.621,15.41,0.84,4,0
oct1.tsv,550,536,14,97.45,69038465,66.804,8.23,0.86,1,0
log1_oct1_5000_pages.tsv,5033,3789,1244,75.28,473443930,523.531,9.61,0.79,468,69
